Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (7T_BL_Chimap),Image stdev (7T_BL_Chimap),Image mean (7T_BL_Rep_Chimap),Image stdev (7T_BL_Rep_Chimap),Image mean (7T_9mthtoBL_Chimap),Image stdev (7T_9mthtoBL_Chimap),,
0,Clear Label,10335035,1.03E+07,-0.00177207,0.120028,-0.00182223,0.119907,-0.000668154,0.110234,-0.001420818,0.116723
6,Label 6,4186,4186,0.412429,0.0328423,0.413204,0.0326521,0.414229,0.0482128,0.413287333,0.0379024
7,Label 7,5106,5106,0.491653,0.0253063,0.491643,0.0263117,0.514038,0.0266161,0.499111333,0.026078033
8,Label 8,5370,5370,0.731233,0.0363964,0.731174,0.0374723,0.737414,0.0488355,0.733273667,0.0409014
9,Label 9,4652,4652,0.864471,0.0441117,0.86513,0.0405069,0.900965,0.0735055,0.876855333,0.052708033
10,Label 10,3411,3411,0.931301,0.0474714,0.929726,0.0515885,0.943607,0.0592709,0.934878,0.052776933
