Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (3T_BL_Chimap),Image stdev (3T_BL_Chimap),Image mean (3T_BL_Rep_Chimap),Image stdev (3T_BL_Rep_Chimap),Image mean (3T_9mthtoBL_Chimap),Image stdev (3T_9mthtoBL_Chimap),,
0,Clear Label,3821281,3.82E+06,0.00234334,0.188302,0.002346,0.18821,0.00230916,0.142629,0.002332833,0.173047
11,Label 11,3355,3355,-0.22159,0.0555325,-0.222655,0.0568686,-0.221413,0.0547726,-0.221886,0.055724567
12,Label 12,2721,2721,-0.592341,0.064222,-0.596874,0.0636774,-0.586739,0.0792237,-0.591984667,0.069041033
13,Label 13,3160,3160,-0.910479,0.042508,-0.913532,0.0643272,-0.902678,0.0708026,-0.908896333,0.0592126
14,Label 14,3339,3339,-1.09873,0.0671674,-1.0944,0.0840134,-1.07137,0.106635,-1.088166667,0.0859386
