Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (7T_BL_Chimap),Image stdev (7T_BL_Chimap),Image mean (7T_BL_Rep_Chimap),Image stdev (7T_BL_Rep_Chimap),Image mean (7T_9mthtoBL_Chimap),Image stdev (7T_9mthtoBL_Chimap),,
0,Clear Label,10337737,1.03E+07,0.00106408,0.119832,0.00101769,0.119706,0.00221307,0.110158,0.001431613,0.116565333
11,Label 11,4402,4402,-0.212816,0.0659693,-0.223403,0.0696019,-0.215513,0.0482352,-0.217244,0.0612688
12,Label 12,5571,5571,-0.588645,0.0759874,-0.586171,0.0716673,-0.578501,0.0664884,-0.584439,0.071381033
13,Label 13,6231,6231,-0.8954,0.0542783,-0.894688,0.0557052,-0.903099,0.0402172,-0.897729,0.0500669
14,Label 14,3819,3819,-1.08862,0.0924889,-1.09122,0.0830193,-1.11452,0.0698529,-1.09812,0.081787033
