Label Id,Label Name,Number Of Voxels,Image mean (7T_Baseline_Arlo),Image stdev (7T_Baseline_Arlo),Image mean (7T_Baseline_Rep_Arlo),Image stdev (7T_Baseline_Rep_Arlo),Image mean (7T_9mthtoBL_Arlo),Image stdev (7T_9mthtoBL_Arlo),AVERAGE mean,AVERAGE std
6,Label 6,4186,18.2884,1.18455,18.2005,1.27372,18.1055,1.89777,18.19813333,1.452013333
7,Label 7,5106,19.5305,1.29601,19.7899,1.50739,20.5093,1.66116,19.94323333,1.488186667
8,Label 8,5370,28.083,2.17874,28.0875,2.21258,28.7417,2.53469,28.30406667,2.30867
9,Label 9,4652,31.6083,2.08561,31.8044,2.13468,33.9705,3.0321,32.46106667,2.417463333
10,Label 10,3411,34.3907,3.94918,34.4002,3.99233,35.6572,7.00235,34.81603333,4.981286667
