Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (3T_BL_Chimap),Image stdev (3T_BL_Chimap),Image mean (3T_BL_Rep_Chimap),Image stdev (3T_BL_Rep_Chimap),Image mean (3T_9mthtoBL_Chimap),Image stdev (3T_9mthtoBL_Chimap),,
0,Clear Label,3818135,3.82E+06,-0.00404228,0.182282,-0.00403664,0.182259,-0.00391956,0.135054,-0.003999493,0.166531667
1,Label 1,3204,3204,0.611464,0.0672297,0.608455,0.0641147,0.575858,0.080367,0.598592333,0.070570467
2,Label 2,3804,3804,0.825555,0.142906,0.830464,0.113724,0.788518,0.153152,0.814845667,0.136594
3,Label 3,2965,2965,1.0811,0.0901943,1.07944,0.0899562,1.06936,0.0831667,1.076633333,0.0877724
4,Label 4,2827,2827,1.16227,0.0466076,1.15664,0.05842,1.12552,0.16627,1.148143333,0.090432533
5,Label 5,2921,2921,1.33407,0.0385619,1.33043,0.0434489,1.30884,0.108493,1.324446667,0.063501267
