Label Id,Label Name,Number Of Voxels,Image mean (3T_Baseline_Arlo),Image stdev (3T_Baseline_Arlo),Image mean (3T_Baseline_Rep_Arlo),Image stdev (3T_Baseline_Rep_Arlo),Image mean (3T_9mthtoBL_Arlo),Image stdev (3T_9mthtoBL_Arlo),AVERAGE mean,AVERAGE std
6,Label 6,2623,15.0514,5.61714,15.0812,5.87609,15.0181,4.17988,15.05023333,5.22437
7,Label 7,2740,14.8886,5.88455,15.0259,5.37512,16.2138,4.44015,15.3761,5.233273333
8,Label 8,2828,17.6461,2.9061,17.9989,2.83339,17.6104,2.16198,17.7518,2.633823333
9,Label 9,2364,18.955,2.75218,18.9442,2.71988,19.5246,1.65315,19.14126667,2.37507
10,Label 10,2543,20.7706,4.33558,20.6942,4.16503,21.0944,2.74727,20.85306667,3.749293333
