Label Id,Label Name,Number Of Voxels,Image mean (3T_Baseline_Arlo),Image stdev (3T_Baseline_Arlo),Image mean (3T_Baseline_Rep_Arlo),Image stdev (3T_Baseline_Rep_Arlo),Image mean (3T_9mthtoBL_Arlo),Image stdev (3T_9mthtoBL_Arlo),AVERAGE mean,AVERAGE std
1,Label 1,3204,30.2128,2.64703,30.8601,5.11131,30.8408,4.85895,30.6379,4.205763333
2,Label 2,3804,38.9777,1.76947,39.4658,3.19195,40.777,5.68738,39.74016667,3.5496
3,Label 3,2965,50.3548,2.28726,50.4572,2.94633,50.2909,4.11311,50.36763333,3.115566667
4,Label 4,2827,52.562,1.68792,52.7106,1.7631,53.2876,4.47253,52.8534,2.641183333
5,Label 5,2921,61.2495,1.57661,61.3929,1.79768,62.8743,3.41272,61.8389,2.262336667
