Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (7T_BL_Chimap),Image stdev (7T_BL_Chimap),Image mean (7T_BL_Rep_Chimap),Image stdev (7T_BL_Rep_Chimap),Image mean (7T_9mthtoBL_Chimap),Image stdev (7T_9mthtoBL_Chimap),,
0,Clear Label,10332271,1.03E+07,-0.00154908,0.121751,-0.00159914,0.121632,-0.000400626,0.112367,-0.001182949,0.118583333
1,Label 1,4479,4479,0.360368,0.030028,0.359992,0.0291002,0.338863,0.0460689,0.353074333,0.0350657
2,Label 2,4473,4473,0.449759,0.0361567,0.450178,0.037852,0.420239,0.08316,0.440058667,0.052389567
3,Label 3,6779,6779,0.545078,0.0553799,0.545473,0.0536782,0.541118,0.0521402,0.543889667,0.053732767
4,Label 4,5032,5032,0.535268,0.12284,0.537449,0.123971,0.575034,0.0557059,0.549250333,0.100838967
5,Label 5,4726,4726,0.64292,0.0747632,0.639866,0.0757768,0.635454,0.111552,0.639413333,0.087364
